4/21/11,MTL,CQF,"BOS 5, MTL 4",Michael Ryder,1:59,BOS
4/20/11,NYR,CQF,"WSH 4, NYR 3",Jason Chimera,32:36:00,WSH
4/20/11,TB,CQF,"PIT 3, TB 2",James Neal,23:38,TB
4/19/11,LA,CQF,"SJ 6, LA 5",Devin Setoguchi,3:09,SJ
4/14/11,SJ,CQF,"SJ 3, LA 2",Joe Pavelski,14:44,SJ
4/13/11,WSH,CQF,"WSH 2, NYR 1",Alexander Semin,18:24,WSH
6/9/10,CHI,SCF,"CHI 4, PHI 3",Patrick Kane,4:10,CHI
6/2/10,PHI,SCF,"CHI 3, PHI 4",Claude Giroux,5:59,CHI
5/21/10,CHI,CF,"SJ 2, CHI 3",Dustin Byfuglien,12:24,CHI
5/7/10,PHI,CSF,"PHI 5, BOS 4",Simon Gagne,14:40,PHI
5/4/10,DET,CSF,"SJ 4, DET 3",Patrick Marleau,7:07,SJ
5/1/10,BOS,CSF,"BOS 5, PHI 4",Marc Savard,13:52,PHI
4/24/10,OTT,CQF,"PIT 4, OTT 3",Pascal Dupuis,9:56,PIT
4/24/10,CHI,CQF,"CHI 5, NSH 4",Marian Hossa,4:06,CHI
4/22/10,PIT,CQF,"OTT 4, PIT 3",Matt Carkner,47:06:00,PIT
4/21/10,BOS,CQF,"BUF 2, BOS 3",Miroslav Satan,27:41:00,BOS
4/18/10,COL,CQF,"SJ 0, COL 1",Ryan O'Reilly,0:51,SJ
4/17/10,PHI,CQF,"NJ 2, PHI 3",Daniel Carcillo,3:35,PHI
4/17/10,VAN,CQF,"LA 3, VAN 2",Anze Kopitar,7:28,VAN
4/17/10,WSH,CQF,"MTL 5, WSH 6",Nicklas Backstrom,0:31,MTL
4/16/10,SJ,CQF,"COL 5, SJ 6",Devin Setoguchi,5:22,SJ
4/15/10,VAN,CQF,"VAN 3, LA 2",Mikael Samuelsson,8:52,VAN
4/15/10,WSH,CQF,"MTL 3, WSH 2",Tomas Plekanec,13:19,MTL
5/27/09,Det,CF,"Det 2, Chi 1",Darren Helm,3:58,Det
5/22/09,Chi,CF,"Chi 4, Det 3",Patrick Sharp,1:52,Det
5/19/09,Det,CF,"Det 3, Chi 2",Mikael Samuelsson,5:14,Det
5/14/09,Bos,CSF,"Car 3, Bos 2",Scott Walker,18:46,Car
5/11/09,Pit,CSF,"Was 5, Pit 4",David Steckel,6:22,Pit
5/9/09,Was,CSF,"Pit 4, Was 3",Evgeni Malkin,3:28,Pit
5/7/09,Chi,CSF,"Van 1, Chi 2",Andrew Ladd,2:52,Chi
5/6/09,Car,CSF,"Bos 2, Car 3",Jussi Jokinen,2:48,Car
5/6/09,Pit,CSF,"Was 2, Pit 3",Kris Letang,11:23,Pit
5/3/09,Det,CSF,"Ana 4, Det 3",Todd Marchant,41:15:00,Det
4/25/09,San,CQF,"SJ 3, Ana 2",Patrick Marleau,6:02,Ana
4/21/09,Stl,CQF,"Van 3, Stl 2",Alex Burrows,19:41,Van
4/19/09,Car,CQF,"NJ 3, Car 2",Travis Zajac,4:56,Car
4/17/09,Pit,CQF,"Pit 3, Phi 2",Bill Guerin,18:29,Pit
4/17/09,NJ,CQF,"Car 2, NJ 1",Tim Gleason,2:40,Car
4/16/09,Chi,CQF,"Chi 3, Cgy 2",Martin Havlat,0:12,Chi
6/2/08,Det,F,"Pit 4, Det 3",Petr Sykora,49:57:00,Det
5/4/08,Dal,CSF,"Dal 2, San 1",Brenden Morrow,69:03:00,Dal
5/4/08,Pit,CSF,"Pit 3, NYR 2",Marian Hossa,7:10,Pit
5/2/08,SJ,CSF,"SJ 3, Dal 2",Joe Pavelski,1:05,Dal
4/29/08,Dal,CSF,"Dal 2, SJ 1",Mattias Norstrom,4:37,Dal
4/25/08,SJ,CSF,"Dal 4, SJ 3",Brenden Morrow,4:39,Dal
4/24/08,Mon,CSF,"Mon 4, Phi 3",Tom Kostopoulos,0:48,Phi
4/22/08,Phi,CQF,"Phi 3, Was 2",Joffrey Lupul,6:06,Phi
4/18/08,Det,CQF,"Det 2, Nas 1",Johan Franzen,1:40,Det
4/17/08,Phi,CQF,"Phi 4, Was 3",Mike Knuble,26:40:00,Phi
